居住地址,lat,lng,hospital_count,nearest_hospital_distance,store_count,nearest_store_distance
屏東縣牡丹鄉高士村,22.1335192,120.844152,0.0,0.0,0.0,0.0
屏東縣獅子鄉楓林村,22.1919092,120.7177509,0.0,0.0,0.0,0.0
屏東縣牡丹鄉東源村,22.1952602,120.8556366,0.0,0.0,0.0,0.0
屏東縣來義鄉文樂村,22.4869969,120.6372471,0.0,0.0,0.0,0.0
屏東縣九如鄉九清村,22.733141,120.4883235,1.0,1.1565020729805955,4.0,0.16021822049457726
屏東縣屏東市豐榮里,22.6760954,120.4984011,20.0,0.3842822406399162,20.0,0.30596419919262763
屏東縣內埔鄉內埔村,22.6106344,120.5710804,4.0,0.4513039779569495,13.0,0.25829619832382844
屏東縣枋寮鄉天時村,22.3957504,120.5998528,0.0,0.0,4.0,1.012593028003261
屏東縣屏東市中正里,22.6878515,120.4998407,9.0,0.35620645020177377,20.0,0.16413113402862925
屏東縣萬巒鄉佳和村,22.5736744,120.5940988,1.0,1.747935616493708,5.0,0.1716109696677351
屏東縣恆春鎮南灣里,21.9684297,120.7637298,0.0,0.0,1.0,0.9629538731448626
屏東縣瑪家鄉排灣村,22.6710153,120.7292472,0.0,0.0,0.0,0.0
屏東縣來義鄉丹林村,22.5167079,120.6487508,0.0,0.0,0.0,0.0
屏東縣霧臺鄉霧台村,22.7376519,120.7177509,0.0,0.0,0.0,0.0
屏東縣九如鄉玉水村,22.7103154,120.478965,0.0,0.0,0.0,0.0
屏東縣來義鄉南和村,22.4362389,120.6417792,0.0,0.0,0.0,0.0
屏東縣泰武鄉武潭村,22.5842275,120.6458749,0.0,0.0,0.0,0.0
屏東縣春日鄉春日村,22.3799251,120.6372471,0.0,0.0,0.0,0.0
屏東縣枋寮鄉枋寮村,22.3685347,120.5955373,7.0,0.3892845212449739,8.0,0.18333945911308347
屏東縣獅子鄉內獅村,22.3030634,120.7234992,0.0,0.0,0.0,0.0
屏東縣竹田鄉南勢村,22.6046434,120.5293488,0.0,0.0,0.0,0.0
屏東縣內埔鄉東勢村,22.641564,120.5768354,0.0,0.0,2.0,0.6925936212289866
屏東縣高樹鄉鹽樹村,22.8121011,120.5682028,1.0,1.3476683173710478,0.0,0.0
屏東縣高樹鄉東振村,22.8290244,120.5768354,0.0,0.0,0.0,0.0
